id,WorkChallengesSelect
34,The lack of a clear question to be answering or a clear direction to go in with the available data
34,Unavailability of/difficult access to data
35,Lack of data science talent in the organization
35,Limitations of tools
35,Other
36,Dirty data
36,Lack of funds to buy useful datasets from external sources
36,Lack of significant domain expert input
37,Dirty data
37,Explaining data science to others
37,Lack of data science talent in the organization
37,The lack of a clear question to be answering or a clear direction to go in with the available data
38,Lack of funds to buy useful datasets from external sources
38,Maintaining responsible expectations about the potential impact of data science projects
38,Privacy issues
38,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
38,Unavailability of/difficult access to data
39,Other
40,Company politics / Lack of management/financial support for a data science team
40,Dirty data
40,Lack of data science talent in the organization
40,The lack of a clear question to be answering or a clear direction to go in with the available data
41,Data Science results not used by business decision makers
41,Did not instrument data useful for scientific analysis and decision-making
41,Difficulties in deployment/scoring
41,Dirty data
41,Lack of funds to buy useful datasets from external sources
41,Limitations of tools
41,Privacy issues
41,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
41,Unavailability of/difficult access to data
42,Company politics / Lack of management/financial support for a data science team
42,Did not instrument data useful for scientific analysis and decision-making
42,Difficulties in deployment/scoring
42,Dirty data
42,Explaining data science to others
42,Lack of data science talent in the organization
42,Lack of funds to buy useful datasets from external sources
42,Lack of significant domain expert input
42,Limitations in the state of the art in machine learning
42,Organization is small and cannot afford a data science team
42,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
42,The lack of a clear question to be answering or a clear direction to go in with the available data
42,Unavailability of/difficult access to data
43,Company politics / Lack of management/financial support for a data science team
43,Data Science results not used by business decision makers
43,Difficulties in deployment/scoring
43,Dirty data
43,Lack of data science talent in the organization
43,Privacy issues
43,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
43,The lack of a clear question to be answering or a clear direction to go in with the available data
44,Company politics / Lack of management/financial support for a data science team
44,Explaining data science to others
44,Need to coordinate with IT
44,Organization is small and cannot afford a data science team
44,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
44,Unavailability of/difficult access to data
45,NA
46,Company politics / Lack of management/financial support for a data science team
47,I prefer not to say
48,Dirty data
49,Lack of data science talent in the organization
50,Dirty data
50,Lack of data science talent in the organization
50,Lack of funds to buy useful datasets from external sources
51,Lack of funds to buy useful datasets from external sources
51,Lack of significant domain expert input
51,Limitations in the state of the art in machine learning
51,Limitations of tools
51,Unavailability of/difficult access to data
52,Lack of funds to buy useful datasets from external sources
52,Limitations in the state of the art in machine learning
52,Unavailability of/difficult access to data
53,Dirty data
53,Lack of funds to buy useful datasets from external sources
53,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
54,Other
55,Data Science results not used by business decision makers
55,Lack of data science talent in the organization
55,The lack of a clear question to be answering or a clear direction to go in with the available data
56,Difficulties in deployment/scoring
56,Dirty data
56,Scaling data science solution up to full database
56,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
57,I prefer not to say
58,Data Science results not used by business decision makers
58,Limitations in the state of the art in machine learning
58,Limitations of tools
58,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
59,Company politics / Lack of management/financial support for a data science team
59,Organization is small and cannot afford a data science team
60,Did not instrument data useful for scientific analysis and decision-making
60,Dirty data
60,Explaining data science to others
60,The lack of a clear question to be answering or a clear direction to go in with the available data
60,Unavailability of/difficult access to data
60,Other
61,Dirty data
61,Organization is small and cannot afford a data science team
62,Company politics / Lack of management/financial support for a data science team
62,Dirty data
62,Explaining data science to others
62,Inability to integrate findings into organization's decision-making process
62,Lack of data science talent in the organization
62,Limitations in the state of the art in machine learning
63,Company politics / Lack of management/financial support for a data science team
63,Dirty data
63,Explaining data science to others
63,Lack of data science talent in the organization
63,Lack of significant domain expert input
63,Need to coordinate with IT
63,Organization is small and cannot afford a data science team
63,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
63,The lack of a clear question to be answering or a clear direction to go in with the available data
64,Company politics / Lack of management/financial support for a data science team
64,Data Science results not used by business decision makers
64,Dirty data
64,Inability to integrate findings into organization's decision-making process
64,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
65,I prefer not to say
66,Dirty data
66,Organization is small and cannot afford a data science team
66,The lack of a clear question to be answering or a clear direction to go in with the available data
67,Company politics / Lack of management/financial support for a data science team
67,Data Science results not used by business decision makers
67,Dirty data
67,Explaining data science to others
67,Inability to integrate findings into organization's decision-making process
67,The lack of a clear question to be answering or a clear direction to go in with the available data
67,Unavailability of/difficult access to data
68,Company politics / Lack of management/financial support for a data science team
68,Data Science results not used by business decision makers
68,Explaining data science to others
68,Lack of significant domain expert input
68,The lack of a clear question to be answering or a clear direction to go in with the available data
69,Dirty data
69,Lack of data science talent in the organization
69,Need to coordinate with IT
69,Privacy issues
70,Dirty data
70,Lack of data science talent in the organization
70,Lack of funds to buy useful datasets from external sources
70,Lack of significant domain expert input
70,Limitations of tools
70,Scaling data science solution up to full database
71,Other
72,Company politics / Lack of management/financial support for a data science team
72,Dirty data
72,Explaining data science to others
72,Lack of significant domain expert input
72,Limitations of tools
72,Need to coordinate with IT
73,Company politics / Lack of management/financial support for a data science team
73,Data Science results not used by business decision makers
73,Lack of data science talent in the organization
74,Data Science results not used by business decision makers
74,Dirty data
74,Explaining data science to others
74,Lack of data science talent in the organization
74,Need to coordinate with IT
74,Organization is small and cannot afford a data science team
74,Unavailability of/difficult access to data
75,Explaining data science to others
75,Lack of data science talent in the organization
75,Limitations in the state of the art in machine learning
75,Need to coordinate with IT
75,Organization is small and cannot afford a data science team
76,Company politics / Lack of management/financial support for a data science team
76,Data Science results not used by business decision makers
76,Lack of data science talent in the organization
76,The lack of a clear question to be answering or a clear direction to go in with the available data
77,Difficulties in deployment/scoring
77,Dirty data
77,Explaining data science to others
77,Lack of funds to buy useful datasets from external sources
77,Privacy issues
78,The lack of a clear question to be answering or a clear direction to go in with the available data
79,Company politics / Lack of management/financial support for a data science team
79,Did not instrument data useful for scientific analysis and decision-making
79,Dirty data
79,Explaining data science to others
79,Lack of data science talent in the organization
79,Privacy issues
80,Data Science results not used by business decision makers
80,Lack of data science talent in the organization
80,Need to coordinate with IT
80,The lack of a clear question to be answering or a clear direction to go in with the available data
81,Other
82,Company politics / Lack of management/financial support for a data science team
82,Explaining data science to others
83,Explaining data science to others
83,Limitations in the state of the art in machine learning
83,Scaling data science solution up to full database
84,Company politics / Lack of management/financial support for a data science team
84,Explaining data science to others
84,Inability to integrate findings into organization's decision-making process
84,The lack of a clear question to be answering or a clear direction to go in with the available data
85,Explaining data science to others
86,Data Science results not used by business decision makers
86,Difficulties in deployment/scoring
86,Dirty data
86,Maintaining responsible expectations about the potential impact of data science projects
86,Privacy issues
86,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
87,Dirty data
87,Explaining data science to others
88,Company politics / Lack of management/financial support for a data science team
88,Data Science results not used by business decision makers
88,Lack of data science talent in the organization
88,Lack of funds to buy useful datasets from external sources
88,Organization is small and cannot afford a data science team
89,Company politics / Lack of management/financial support for a data science team
89,Dirty data
89,Lack of data science talent in the organization
89,Limitations in the state of the art in machine learning
89,Limitations of tools
89,Need to coordinate with IT
90,Company politics / Lack of management/financial support for a data science team
90,Dirty data
90,Lack of significant domain expert input
90,Limitations in the state of the art in machine learning
90,Need to coordinate with IT
91,Dirty data
91,Limitations in the state of the art in machine learning
91,Organization is small and cannot afford a data science team
91,The lack of a clear question to be answering or a clear direction to go in with the available data
92,Company politics / Lack of management/financial support for a data science team
92,Data Science results not used by business decision makers
92,Dirty data
92,Explaining data science to others
92,Inability to integrate findings into organization's decision-making process
92,Privacy issues
92,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
92,Unavailability of/difficult access to data
93,Dirty data
93,Explaining data science to others
93,Inability to integrate findings into organization's decision-making process
93,Limitations of tools
93,Maintaining responsible expectations about the potential impact of data science projects
93,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
93,The lack of a clear question to be answering or a clear direction to go in with the available data
94,Lack of data science talent in the organization
94,Organization is small and cannot afford a data science team
95,Dirty data
95,Privacy issues
95,Unavailability of/difficult access to data
96,Dirty data
96,Explaining data science to others
96,Limitations of tools
96,The lack of a clear question to be answering or a clear direction to go in with the available data
96,Unavailability of/difficult access to data
97,Lack of data science talent in the organization
97,Limitations in the state of the art in machine learning
98,Company politics / Lack of management/financial support for a data science team
98,Privacy issues
99,Dirty data
99,Explaining data science to others
99,Lack of data science talent in the organization
99,Lack of funds to buy useful datasets from external sources
99,Limitations in the state of the art in machine learning
99,Need to coordinate with IT
99,Privacy issues
99,Scaling data science solution up to full database
99,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
100,Dirty data
100,Explaining data science to others
100,Lack of data science talent in the organization
100,Maintaining responsible expectations about the potential impact of data science projects
100,Need to coordinate with IT
100,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
100,Unavailability of/difficult access to data
101,Explaining data science to others
101,Inability to integrate findings into organization's decision-making process
101,Organization is small and cannot afford a data science team
101,The lack of a clear question to be answering or a clear direction to go in with the available data
102,Data Science results not used by business decision makers
102,Did not instrument data useful for scientific analysis and decision-making
102,Dirty data
102,Inability to integrate findings into organization's decision-making process
102,Lack of funds to buy useful datasets from external sources
102,Organization is small and cannot afford a data science team
102,The lack of a clear question to be answering or a clear direction to go in with the available data
102,Unavailability of/difficult access to data
103,Company politics / Lack of management/financial support for a data science team
103,Dirty data
103,Scaling data science solution up to full database
104,Data Science results not used by business decision makers
104,Inability to integrate findings into organization's decision-making process
105,Company politics / Lack of management/financial support for a data science team
105,Data Science results not used by business decision makers
105,Did not instrument data useful for scientific analysis and decision-making
105,Dirty data
105,Inability to integrate findings into organization's decision-making process
105,Lack of data science talent in the organization
105,Limitations of tools
105,Maintaining responsible expectations about the potential impact of data science projects
105,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
105,The lack of a clear question to be answering or a clear direction to go in with the available data
105,Unavailability of/difficult access to data
106,Lack of data science talent in the organization
106,Lack of significant domain expert input
106,Maintaining responsible expectations about the potential impact of data science projects
106,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
106,The lack of a clear question to be answering or a clear direction to go in with the available data
107,Company politics / Lack of management/financial support for a data science team
107,Data Science results not used by business decision makers
107,Dirty data
107,Lack of data science talent in the organization
107,Need to coordinate with IT
107,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
107,Unavailability of/difficult access to data
108,Limitations of tools
108,Privacy issues
108,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
108,Unavailability of/difficult access to data
109,Lack of data science talent in the organization
110,Data Science results not used by business decision makers
110,Dirty data
111,Company politics / Lack of management/financial support for a data science team
111,Dirty data
111,Lack of data science talent in the organization
111,Organization is small and cannot afford a data science team
111,Privacy issues
112,Company politics / Lack of management/financial support for a data science team
112,Dirty data
112,Explaining data science to others
112,Limitations of tools
112,Need to coordinate with IT
112,Privacy issues
112,The lack of a clear question to be answering or a clear direction to go in with the available data
112,Unavailability of/difficult access to data
113,Dirty data
113,Lack of data science talent in the organization
113,Limitations in the state of the art in machine learning
113,Need to coordinate with IT
114,Company politics / Lack of management/financial support for a data science team
114,Dirty data
114,Lack of funds to buy useful datasets from external sources
114,Need to coordinate with IT
114,Privacy issues
114,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
114,Unavailability of/difficult access to data
115,Other
116,Dirty data
116,Lack of significant domain expert input
116,Organization is small and cannot afford a data science team
117,Dirty data
117,Explaining data science to others
117,Privacy issues
117,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
117,The lack of a clear question to be answering or a clear direction to go in with the available data
118,Dirty data
119,Company politics / Lack of management/financial support for a data science team
119,Data Science results not used by business decision makers
119,Difficulties in deployment/scoring
119,Lack of funds to buy useful datasets from external sources
119,Lack of significant domain expert input
119,The lack of a clear question to be answering or a clear direction to go in with the available data
119,Unavailability of/difficult access to data
120,Dirty data
120,Maintaining responsible expectations about the potential impact of data science projects
120,Scaling data science solution up to full database
120,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
121,Dirty data
121,Maintaining responsible expectations about the potential impact of data science projects
121,The lack of a clear question to be answering or a clear direction to go in with the available data
121,Unavailability of/difficult access to data
122,Company politics / Lack of management/financial support for a data science team
122,Dirty data
122,Limitations of tools
122,The lack of a clear question to be answering or a clear direction to go in with the available data
123,Privacy issues
123,Scaling data science solution up to full database
123,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
124,Dirty data
124,Organization is small and cannot afford a data science team
124,Privacy issues
124,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
125,Company politics / Lack of management/financial support for a data science team
125,Difficulties in deployment/scoring
125,Dirty data
125,Lack of data science talent in the organization
125,Organization is small and cannot afford a data science team
125,Privacy issues
125,Scaling data science solution up to full database
125,Unavailability of/difficult access to data
126,Data Science results not used by business decision makers
126,Difficulties in deployment/scoring
126,Dirty data
127,Company politics / Lack of management/financial support for a data science team
127,Data Science results not used by business decision makers
127,Difficulties in deployment/scoring
127,Dirty data
127,Inability to integrate findings into organization's decision-making process
127,Lack of data science talent in the organization
127,Lack of funds to buy useful datasets from external sources
127,Limitations in the state of the art in machine learning
127,Organization is small and cannot afford a data science team
127,Privacy issues
127,The lack of a clear question to be answering or a clear direction to go in with the available data
128,Company politics / Lack of management/financial support for a data science team
128,Lack of funds to buy useful datasets from external sources
128,Privacy issues
128,Scaling data science solution up to full database
129,Unavailability of/difficult access to data
130,NA
131,Company politics / Lack of management/financial support for a data science team
131,Unavailability of/difficult access to data
131,Other
132,Dirty data
132,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
132,The lack of a clear question to be answering or a clear direction to go in with the available data
133,Company politics / Lack of management/financial support for a data science team
133,Data Science results not used by business decision makers
133,Unavailability of/difficult access to data
134,Difficulties in deployment/scoring
134,Dirty data
134,Explaining data science to others
134,Lack of funds to buy useful datasets from external sources
134,Organization is small and cannot afford a data science team
135,Company politics / Lack of management/financial support for a data science team
135,Lack of data science talent in the organization
135,Lack of funds to buy useful datasets from external sources
135,Lack of significant domain expert input
135,Privacy issues
136,Dirty data
136,Explaining data science to others
136,Lack of significant domain expert input
136,Privacy issues
137,I prefer not to say
138,Company politics / Lack of management/financial support for a data science team
138,Privacy issues
139,I prefer not to say
140,Company politics / Lack of management/financial support for a data science team
140,Data Science results not used by business decision makers
140,Dirty data
140,Inability to integrate findings into organization's decision-making process
140,Lack of data science talent in the organization
140,Unavailability of/difficult access to data
141,Dirty data
141,Explaining data science to others
141,Limitations in the state of the art in machine learning
141,Need to coordinate with IT
141,The lack of a clear question to be answering or a clear direction to go in with the available data
142,Company politics / Lack of management/financial support for a data science team
142,Dirty data
143,Limitations in the state of the art in machine learning
143,Maintaining responsible expectations about the potential impact of data science projects
144,Data Science results not used by business decision makers
144,Lack of data science talent in the organization
145,Lack of data science talent in the organization
145,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
145,The lack of a clear question to be answering or a clear direction to go in with the available data
145,Other
146,NA
147,Company politics / Lack of management/financial support for a data science team
147,Inability to integrate findings into organization's decision-making process
147,Lack of data science talent in the organization
147,Maintaining responsible expectations about the potential impact of data science projects
147,Privacy issues
148,Dirty data
148,Lack of funds to buy useful datasets from external sources
148,Organization is small and cannot afford a data science team
148,Unavailability of/difficult access to data
149,Explaining data science to others
149,Limitations of tools
150,I prefer not to say
151,The lack of a clear question to be answering or a clear direction to go in with the available data
152,Dirty data
152,Explaining data science to others
152,Scaling data science solution up to full database
153,Company politics / Lack of management/financial support for a data science team
153,Data Science results not used by business decision makers
153,Did not instrument data useful for scientific analysis and decision-making
153,Dirty data
153,Inability to integrate findings into organization's decision-making process
153,Lack of data science talent in the organization
153,Lack of funds to buy useful datasets from external sources
153,Lack of significant domain expert input
153,Maintaining responsible expectations about the potential impact of data science projects
153,Need to coordinate with IT
153,Scaling data science solution up to full database
153,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
153,The lack of a clear question to be answering or a clear direction to go in with the available data
153,Unavailability of/difficult access to data
154,Company politics / Lack of management/financial support for a data science team
154,Data Science results not used by business decision makers
154,Did not instrument data useful for scientific analysis and decision-making
154,Dirty data
154,Explaining data science to others
154,Maintaining responsible expectations about the potential impact of data science projects
154,The lack of a clear question to be answering or a clear direction to go in with the available data
154,Unavailability of/difficult access to data
155,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
155,Other
156,Data Science results not used by business decision makers
156,Dirty data
156,Other
157,Company politics / Lack of management/financial support for a data science team
157,Data Science results not used by business decision makers
157,Inability to integrate findings into organization's decision-making process
157,Lack of data science talent in the organization
157,Lack of significant domain expert input
157,Need to coordinate with IT
157,Privacy issues
158,Company politics / Lack of management/financial support for a data science team
158,Data Science results not used by business decision makers
158,Dirty data
158,Explaining data science to others
158,Lack of data science talent in the organization
158,Lack of funds to buy useful datasets from external sources
158,Lack of significant domain expert input
158,Limitations in the state of the art in machine learning
158,Scaling data science solution up to full database
158,Unavailability of/difficult access to data
159,I prefer not to say
160,I prefer not to say
161,Privacy issues
162,I prefer not to say
163,Company politics / Lack of management/financial support for a data science team
163,Dirty data
163,Lack of data science talent in the organization
163,Lack of significant domain expert input
163,Maintaining responsible expectations about the potential impact of data science projects
163,Organization is small and cannot afford a data science team
163,Scaling data science solution up to full database
163,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
164,Dirty data
165,Limitations of tools
166,Data Science results not used by business decision makers
166,Did not instrument data useful for scientific analysis and decision-making
166,Inability to integrate findings into organization's decision-making process
166,Limitations of tools
166,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
166,Unavailability of/difficult access to data
167,Company politics / Lack of management/financial support for a data science team
167,Dirty data
167,Explaining data science to others
167,Limitations of tools
167,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
168,Company politics / Lack of management/financial support for a data science team
168,Dirty data
168,The lack of a clear question to be answering or a clear direction to go in with the available data
168,Unavailability of/difficult access to data
169,Company politics / Lack of management/financial support for a data science team
169,Lack of data science talent in the organization
169,Lack of significant domain expert input
170,Difficulties in deployment/scoring
170,Lack of data science talent in the organization
170,Scaling data science solution up to full database
171,Company politics / Lack of management/financial support for a data science team
171,Data Science results not used by business decision makers
171,Dirty data
171,Explaining data science to others
171,Lack of data science talent in the organization
172,Dirty data
172,Unavailability of/difficult access to data
173,Dirty data
173,Lack of funds to buy useful datasets from external sources
173,Lack of significant domain expert input
173,Privacy issues
173,The lack of a clear question to be answering or a clear direction to go in with the available data
174,Company politics / Lack of management/financial support for a data science team
174,Scaling data science solution up to full database
174,The lack of a clear question to be answering or a clear direction to go in with the available data
175,Lack of data science talent in the organization
176,Company politics / Lack of management/financial support for a data science team
176,Data Science results not used by business decision makers
176,Difficulties in deployment/scoring
176,Dirty data
176,Explaining data science to others
176,Inability to integrate findings into organization's decision-making process
176,Lack of data science talent in the organization
176,Lack of funds to buy useful datasets from external sources
176,Maintaining responsible expectations about the potential impact of data science projects
176,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
176,Unavailability of/difficult access to data
177,Lack of data science talent in the organization
177,Limitations in the state of the art in machine learning
177,The lack of a clear question to be answering or a clear direction to go in with the available data
177,Unavailability of/difficult access to data
178,Company politics / Lack of management/financial support for a data science team
178,Lack of data science talent in the organization
178,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
178,Unavailability of/difficult access to data
179,Company politics / Lack of management/financial support for a data science team
179,Data Science results not used by business decision makers
179,Dirty data
179,Explaining data science to others
179,Lack of data science talent in the organization
179,Limitations of tools
180,Dirty data
180,The lack of a clear question to be answering or a clear direction to go in with the available data
180,Unavailability of/difficult access to data
181,Data Science results not used by business decision makers
181,Dirty data
181,Lack of data science talent in the organization
181,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
182,Dirty data
182,Explaining data science to others
182,Maintaining responsible expectations about the potential impact of data science projects
182,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
183,Dirty data
183,Lack of funds to buy useful datasets from external sources
183,The lack of a clear question to be answering or a clear direction to go in with the available data
183,Unavailability of/difficult access to data
184,Privacy issues
184,Other
185,Dirty data
185,Maintaining responsible expectations about the potential impact of data science projects
185,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
185,Unavailability of/difficult access to data
186,Company politics / Lack of management/financial support for a data science team
186,Data Science results not used by business decision makers
186,Dirty data
186,Inability to integrate findings into organization's decision-making process
186,The lack of a clear question to be answering or a clear direction to go in with the available data
186,Unavailability of/difficult access to data
187,I prefer not to say
188,Data Science results not used by business decision makers
188,Explaining data science to others
188,Lack of data science talent in the organization
188,Lack of significant domain expert input
188,Limitations of tools
188,Privacy issues
188,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
188,Unavailability of/difficult access to data
189,Company politics / Lack of management/financial support for a data science team
189,Data Science results not used by business decision makers
189,Did not instrument data useful for scientific analysis and decision-making
189,Difficulties in deployment/scoring
189,Inability to integrate findings into organization's decision-making process
189,Lack of significant domain expert input
189,Need to coordinate with IT
190,Organization is small and cannot afford a data science team
191,Dirty data
191,Maintaining responsible expectations about the potential impact of data science projects
191,The lack of a clear question to be answering or a clear direction to go in with the available data
191,Unavailability of/difficult access to data
192,Company politics / Lack of management/financial support for a data science team
192,Dirty data
192,Explaining data science to others
192,Lack of data science talent in the organization
192,Lack of funds to buy useful datasets from external sources
192,Maintaining responsible expectations about the potential impact of data science projects
192,Need to coordinate with IT
192,The lack of a clear question to be answering or a clear direction to go in with the available data
192,Unavailability of/difficult access to data
193,Dirty data
193,Lack of significant domain expert input
193,Organization is small and cannot afford a data science team
193,Privacy issues
194,Company politics / Lack of management/financial support for a data science team
194,Lack of significant domain expert input
194,Limitations of tools
194,Need to coordinate with IT
195,Lack of data science talent in the organization
195,Lack of funds to buy useful datasets from external sources
195,Lack of significant domain expert input
196,Difficulties in deployment/scoring
196,Explaining data science to others
196,Lack of data science talent in the organization
196,Limitations in the state of the art in machine learning
196,Maintaining responsible expectations about the potential impact of data science projects
196,Organization is small and cannot afford a data science team
196,Scaling data science solution up to full database
196,The lack of a clear question to be answering or a clear direction to go in with the available data
197,Other
198,Company politics / Lack of management/financial support for a data science team
198,Data Science results not used by business decision makers
198,Difficulties in deployment/scoring
198,Lack of data science talent in the organization
198,Organization is small and cannot afford a data science team
199,Lack of significant domain expert input
200,Company politics / Lack of management/financial support for a data science team
200,Data Science results not used by business decision makers
200,Dirty data
200,Explaining data science to others
200,Inability to integrate findings into organization's decision-making process
200,Lack of data science talent in the organization
200,Maintaining responsible expectations about the potential impact of data science projects
200,Need to coordinate with IT
200,Scaling data science solution up to full database
201,Company politics / Lack of management/financial support for a data science team
202,Data Science results not used by business decision makers
202,Dirty data
202,Explaining data science to others
