id,challenge,frequency
173,politics,NA
174,politics,Often
175,politics,NA
176,politics,Most of the time
177,politics,NA
178,politics,Most of the time
179,politics,Sometimes
180,politics,NA
181,politics,NA
182,politics,NA
183,politics,NA
184,politics,NA
185,politics,NA
186,politics,Often
187,politics,NA
188,politics,NA
189,politics,Most of the time
190,politics,NA
191,politics,NA
192,politics,Sometimes
193,politics,NA
194,politics,Sometimes
195,politics,NA
196,politics,NA
197,politics,NA
198,politics,Often
199,politics,NA
200,politics,Most of the time
201,politics,Most of the time
202,politics,NA
203,politics,NA
204,politics,NA
205,politics,NA
206,politics,Sometimes
207,politics,NA
208,politics,Sometimes
209,politics,Sometimes
210,politics,NA
211,politics,Most of the time
212,politics,NA
213,politics,NA
214,politics,NA
215,politics,Most of the time
216,politics,Rarely
217,politics,NA
218,politics,Sometimes
219,politics,NA
220,politics,NA
221,politics,NA
222,politics,Often
223,politics,NA
224,politics,NA
225,politics,NA
226,politics,NA
227,politics,NA
228,politics,Often
229,politics,Often
230,politics,NA
231,politics,NA
232,politics,Often
233,politics,NA
234,politics,Often
235,politics,Often
236,politics,NA
237,politics,Sometimes
238,politics,Sometimes
239,politics,NA
240,politics,Most of the time
241,politics,Sometimes
242,politics,NA
243,politics,NA
244,politics,NA
245,politics,Often
246,politics,NA
247,politics,NA
248,politics,NA
249,politics,NA
250,politics,NA
251,politics,NA
252,politics,NA
253,politics,NA
254,politics,Often
255,politics,Rarely
256,politics,NA
257,politics,NA
258,politics,NA
259,politics,NA
260,politics,Often
261,politics,Sometimes
262,politics,NA
263,politics,NA
264,politics,NA
265,politics,NA
266,politics,Often
267,politics,NA
268,politics,NA
269,politics,NA
270,politics,NA
271,politics,NA
272,politics,Often
273,politics,NA
274,politics,Most of the time
275,politics,Sometimes
276,politics,Often
277,politics,NA
278,politics,Sometimes
279,politics,Often
280,politics,NA
281,politics,NA
282,politics,NA
283,politics,Rarely
284,politics,Sometimes
285,politics,NA
286,politics,NA
287,politics,NA
288,politics,Sometimes
289,politics,Often
290,politics,NA
291,politics,NA
292,politics,Often
293,politics,Sometimes
294,politics,NA
295,politics,Most of the time
296,politics,Sometimes
297,politics,Most of the time
298,politics,Often
299,politics,Often
300,politics,Sometimes
301,politics,Most of the time
302,politics,NA
303,politics,NA
304,politics,NA
305,politics,NA
306,politics,NA
307,politics,NA
308,politics,NA
309,politics,Often
310,politics,NA
311,politics,NA
312,politics,NA
313,politics,Often
314,politics,Most of the time
315,politics,Sometimes
316,politics,Often
317,politics,NA
318,politics,NA
319,politics,NA
320,politics,Often
321,politics,NA
322,politics,NA
323,politics,NA
324,politics,Sometimes
325,politics,NA
326,politics,NA
327,politics,Often
328,politics,NA
329,politics,NA
330,politics,NA
331,politics,NA
332,politics,Often
333,politics,NA
334,politics,NA
335,politics,Often
336,politics,NA
337,politics,NA
338,politics,Most of the time
339,politics,NA
340,politics,Rarely
341,politics,NA
342,politics,NA
343,politics,Often
344,politics,NA
345,politics,NA
346,politics,NA
347,politics,NA
348,politics,NA
349,politics,NA
350,politics,Most of the time
351,politics,Often
352,politics,Often
353,politics,NA
354,politics,Sometimes
355,politics,NA
356,politics,NA
357,politics,Often
358,politics,NA
359,politics,NA
360,politics,NA
361,politics,NA
362,politics,NA
363,politics,Most of the time
364,politics,NA
365,politics,NA
366,politics,NA
367,politics,NA
368,politics,NA
369,politics,NA
370,politics,Often
371,politics,NA
372,politics,Sometimes
373,politics,NA
374,politics,NA
375,politics,NA
376,politics,NA
377,politics,NA
378,politics,Sometimes
379,politics,NA
380,politics,NA
381,politics,NA
382,politics,NA
383,politics,NA
384,politics,NA
385,politics,NA
386,politics,NA
387,politics,NA
388,politics,NA
389,politics,Often
390,politics,NA
391,politics,NA
392,politics,Most of the time
393,politics,Often
394,politics,Sometimes
395,politics,Most of the time
396,politics,NA
397,politics,Often
398,politics,NA
399,politics,NA
400,politics,NA
401,politics,NA
402,politics,NA
403,politics,NA
404,politics,NA
405,politics,NA
406,politics,NA
407,politics,NA
408,politics,Often
409,politics,Most of the time
410,politics,NA
411,politics,Often
412,politics,NA
413,politics,NA
414,politics,NA
415,politics,Sometimes
416,politics,Most of the time
417,politics,Sometimes
418,politics,Sometimes
419,politics,Sometimes
420,politics,NA
421,politics,NA
422,politics,NA
423,politics,NA
424,politics,NA
425,politics,Often
426,politics,NA
427,politics,NA
428,politics,NA
429,politics,NA
430,politics,NA
431,politics,NA
432,politics,NA
433,politics,NA
434,politics,NA
435,politics,Sometimes
436,politics,Sometimes
437,politics,Most of the time
438,politics,Most of the time
439,politics,Most of the time
440,politics,NA
441,politics,NA
442,politics,NA
443,politics,NA
444,politics,Sometimes
445,politics,Often
446,politics,NA
447,politics,Sometimes
448,politics,NA
449,politics,NA
450,politics,NA
451,politics,Often
452,politics,NA
453,politics,Often
454,politics,Sometimes
455,politics,NA
456,politics,NA
457,politics,NA
458,politics,NA
459,politics,NA
460,politics,NA
461,politics,NA
462,politics,Rarely
463,politics,Sometimes
464,politics,NA
465,politics,NA
466,politics,NA
467,politics,NA
468,politics,Sometimes
469,politics,NA
470,politics,NA
471,politics,Often
472,politics,NA
473,politics,NA
474,politics,NA
475,politics,Sometimes
476,politics,NA
477,politics,Often
478,politics,Often
479,politics,NA
480,politics,NA
481,politics,Most of the time
482,politics,Often
483,politics,NA
484,politics,Often
485,politics,NA
486,politics,Often
487,politics,NA
488,politics,NA
489,politics,Most of the time
490,politics,NA
491,politics,Often
492,politics,NA
493,politics,NA
494,politics,NA
495,politics,NA
496,politics,NA
497,politics,NA
498,politics,Often
499,politics,NA
500,politics,NA
501,politics,NA
502,politics,NA
503,politics,NA
504,politics,NA
505,politics,NA
506,politics,Most of the time
507,politics,NA
508,politics,NA
509,politics,NA
510,politics,Sometimes
511,politics,NA
512,politics,Often
513,politics,NA
514,politics,NA
515,politics,NA
516,politics,NA
517,politics,NA
518,politics,NA
519,politics,Often
520,politics,Often
521,politics,NA
522,politics,NA
523,politics,Most of the time
524,politics,NA
525,politics,NA
526,politics,NA
527,politics,Sometimes
528,politics,Often
529,politics,NA
530,politics,Most of the time
531,politics,NA
532,politics,NA
533,politics,Most of the time
534,politics,NA
535,politics,Most of the time
536,politics,NA
537,politics,NA
538,politics,NA
539,politics,Most of the time
540,politics,NA
541,politics,NA
542,politics,NA
543,politics,NA
544,politics,NA
545,politics,Often
546,politics,Often
547,politics,Sometimes
548,politics,Most of the time
549,politics,Sometimes
550,politics,NA
551,politics,NA
552,politics,NA
553,politics,NA
554,politics,Sometimes
555,politics,Sometimes
556,politics,NA
557,politics,NA
558,politics,NA
559,politics,Often
560,politics,NA
561,politics,Sometimes
562,politics,NA
563,politics,NA
564,politics,NA
565,politics,NA
566,politics,NA
567,politics,NA
568,politics,Often
569,politics,NA
570,politics,NA
571,politics,NA
572,politics,Sometimes
573,politics,NA
574,politics,Often
575,politics,NA
576,politics,NA
577,politics,NA
578,politics,Often
579,politics,Most of the time
580,politics,Often
581,politics,Often
582,politics,NA
583,politics,NA
584,politics,Often
585,politics,NA
586,politics,Sometimes
587,politics,Most of the time
588,politics,Sometimes
589,politics,NA
590,politics,Sometimes
591,politics,NA
592,politics,NA
593,politics,NA
594,politics,Often
595,politics,NA
596,politics,NA
597,politics,NA
598,politics,Often
599,politics,NA
600,politics,NA
601,politics,Often
602,politics,Most of the time
603,politics,NA
604,politics,NA
605,politics,NA
606,politics,NA
607,politics,NA
608,politics,Often
609,politics,NA
610,politics,NA
611,politics,NA
612,politics,NA
613,politics,Often
614,politics,NA
615,politics,NA
616,politics,NA
617,politics,NA
618,politics,Most of the time
619,politics,Sometimes
620,politics,Sometimes
621,politics,Sometimes
622,politics,NA
623,politics,NA
624,politics,NA
625,politics,NA
626,politics,Often
627,politics,NA
628,politics,NA
629,politics,NA
630,politics,NA
631,politics,NA
632,politics,NA
633,politics,Most of the time
634,politics,Often
635,politics,NA
636,politics,NA
637,politics,Sometimes
638,politics,NA
639,politics,NA
640,politics,NA
641,politics,NA
642,politics,Most of the time
643,politics,NA
644,politics,Often
645,politics,NA
646,politics,Most of the time
647,politics,Often
648,politics,Most of the time
649,politics,Often
650,politics,NA
651,politics,NA
652,politics,NA
653,politics,NA
654,politics,Often
655,politics,NA
656,politics,NA
657,politics,NA
658,politics,NA
659,politics,Often
660,politics,NA
661,politics,NA
662,politics,NA
663,politics,Often
664,politics,Often
665,politics,NA
666,politics,Sometimes
667,politics,NA
668,politics,NA
669,politics,NA
670,politics,NA
671,politics,NA
672,politics,NA
673,politics,Most of the time
674,politics,NA
675,politics,Most of the time
676,politics,Most of the time
677,politics,Sometimes
678,politics,NA
679,politics,Often
680,politics,NA
681,politics,Sometimes
682,politics,Often
683,politics,Often
684,politics,Often
685,politics,Sometimes
686,politics,NA
687,politics,Often
688,politics,NA
689,politics,NA
690,politics,NA
691,politics,NA
692,politics,Sometimes
693,politics,NA
694,politics,NA
695,politics,NA
696,politics,NA
697,politics,NA
698,politics,NA
699,politics,Often
700,politics,Often
701,politics,Often
702,politics,NA
703,politics,NA
704,politics,NA
705,politics,Rarely
706,politics,NA
707,politics,Sometimes
708,politics,Often
709,politics,NA
710,politics,Often
711,politics,Often
712,politics,NA
713,politics,Sometimes
714,politics,NA
715,politics,NA
716,politics,NA
717,politics,NA
718,politics,NA
719,politics,Often
720,politics,Often
721,politics,NA
722,politics,NA
723,politics,Sometimes
724,politics,NA
725,politics,Often
726,politics,NA
727,politics,NA
728,politics,NA
729,politics,NA
730,politics,Often
731,politics,Sometimes
732,politics,Most of the time
733,politics,Most of the time
734,politics,NA
735,politics,NA
736,politics,NA
737,politics,NA
738,politics,NA
739,politics,Often
740,politics,NA
741,politics,NA
742,politics,Most of the time
743,politics,Often
744,politics,NA
745,politics,NA
746,politics,NA
747,politics,NA
748,politics,NA
749,politics,Often
750,politics,NA
751,politics,NA
752,politics,NA
753,politics,Often
754,politics,NA
755,politics,Often
756,politics,NA
757,politics,Sometimes
758,politics,NA
759,politics,Sometimes
760,politics,NA
761,politics,NA
762,politics,Often
763,politics,NA
764,politics,Most of the time
765,politics,NA
766,politics,Sometimes
767,politics,Most of the time
768,politics,NA
769,politics,NA
770,politics,Often
771,politics,Most of the time
772,politics,Often
773,politics,NA
774,politics,NA
775,politics,NA
776,politics,Often
777,politics,NA
778,politics,Sometimes
779,politics,NA
780,politics,Often
781,politics,NA
782,politics,NA
783,politics,NA
784,politics,NA
785,politics,NA
786,politics,NA
787,politics,NA
788,politics,Sometimes
789,politics,NA
790,politics,NA
791,politics,NA
792,politics,NA
793,politics,NA
794,politics,NA
795,politics,NA
796,politics,NA
797,politics,NA
798,politics,NA
799,politics,NA
800,politics,NA
801,politics,NA
802,politics,Most of the time
803,politics,Most of the time
804,politics,NA
805,politics,Often
806,politics,Most of the time
807,politics,Most of the time
808,politics,NA
809,politics,NA
810,politics,Sometimes
811,politics,Sometimes
812,politics,NA
813,politics,Sometimes
814,politics,Often
815,politics,NA
816,politics,NA
817,politics,NA
818,politics,Sometimes
819,politics,NA
820,politics,Often
821,politics,NA
822,politics,NA
823,politics,Sometimes
824,politics,NA
825,politics,NA
826,politics,Most of the time
827,politics,NA
828,politics,Most of the time
829,politics,NA
830,politics,NA
831,politics,NA
832,politics,Often
833,politics,NA
834,politics,Sometimes
835,politics,NA
836,politics,NA
837,politics,NA
838,politics,NA
839,politics,NA
840,politics,NA
841,politics,Often
842,politics,NA
843,politics,NA
844,politics,NA
845,politics,Often
846,politics,NA
847,politics,NA
848,politics,NA
849,politics,NA
850,politics,NA
851,politics,NA
852,politics,NA
853,politics,NA
854,politics,NA
855,politics,NA
856,politics,Most of the time
857,politics,NA
858,politics,NA
859,politics,Often
860,politics,Sometimes
861,politics,Often
862,politics,NA
863,politics,Sometimes
864,politics,NA
865,politics,NA
866,politics,Rarely
867,politics,Sometimes
868,politics,Most of the time
869,politics,Sometimes
870,politics,NA
871,politics,NA
872,politics,NA
873,politics,NA
874,politics,Often
875,politics,NA
876,politics,NA
877,politics,Sometimes
878,politics,NA
879,politics,NA
880,politics,Most of the time
881,politics,Most of the time
882,politics,Often
883,politics,Often
884,politics,Sometimes
885,politics,NA
886,politics,Most of the time
887,politics,NA
888,politics,NA
889,politics,NA
890,politics,Often
891,politics,Sometimes
892,politics,NA
893,politics,NA
894,politics,NA
895,politics,NA
896,politics,Most of the time
897,politics,Often
898,politics,NA
899,politics,Often
900,politics,NA
901,politics,NA
902,politics,NA
903,politics,NA
904,politics,NA
905,politics,NA
906,politics,Most of the time
907,politics,NA
908,politics,NA
909,politics,NA
910,politics,Often
911,politics,NA
912,politics,NA
913,politics,NA
914,politics,NA
915,politics,NA
916,politics,Often
917,politics,NA
918,politics,Often
919,politics,NA
920,politics,NA
921,politics,NA
922,politics,Often
923,politics,NA
924,politics,Most of the time
925,politics,Sometimes
926,politics,NA
927,politics,Sometimes
928,politics,NA
929,politics,Often
930,politics,NA
931,politics,Sometimes
932,politics,NA
933,politics,NA
934,politics,NA
935,politics,NA
936,politics,Most of the time
937,politics,NA
938,politics,NA
939,politics,NA
940,politics,NA
941,politics,NA
942,politics,NA
943,politics,NA
944,politics,NA
945,politics,NA
946,politics,Often
947,politics,Most of the time
948,politics,Often
949,politics,NA
950,politics,Often
951,politics,NA
952,politics,NA
953,politics,Often
954,politics,Most of the time
955,politics,Often
956,politics,NA
957,politics,NA
958,politics,NA
959,politics,NA
960,politics,Often
961,politics,Often
962,politics,Most of the time
963,politics,NA
964,politics,NA
965,politics,Most of the time
966,politics,NA
967,politics,NA
968,politics,NA
969,politics,NA
970,politics,NA
971,politics,NA
972,politics,Often
973,politics,NA
974,politics,Often
975,politics,Often
976,politics,NA
977,politics,NA
978,politics,Often
979,politics,Sometimes
980,politics,NA
981,politics,Sometimes
982,politics,NA
983,politics,NA
984,politics,NA
985,politics,NA
986,politics,NA
987,politics,NA
988,politics,Often
989,politics,Most of the time
990,politics,NA
991,politics,Most of the time
992,politics,NA
993,politics,NA
994,politics,NA
995,politics,Often
996,politics,NA
997,politics,NA
998,politics,NA
999,politics,NA
1000,politics,Most of the time
1001,politics,NA
1002,politics,Sometimes
1003,politics,NA
1004,politics,NA
1005,politics,NA
1006,politics,NA
1007,politics,NA
1008,politics,NA
1009,politics,Often
1010,politics,NA
1011,politics,NA
1012,politics,Often
1013,politics,NA
1014,politics,NA
1015,politics,Rarely
1016,politics,NA
1017,politics,NA
1018,politics,NA
1019,politics,Rarely
1020,politics,NA
1021,politics,Most of the time
1022,politics,Sometimes
1023,politics,NA
1024,politics,NA
1025,politics,Often
1026,politics,NA
1027,politics,NA
1028,politics,NA
1029,politics,Sometimes
1030,politics,NA
1031,politics,Often
1032,politics,NA
1033,politics,NA
1034,politics,Often
1035,politics,NA
1036,politics,NA
1037,politics,NA
1038,politics,NA
1039,politics,NA
1040,politics,Often
1041,politics,NA
1042,politics,Rarely
1043,politics,Often
1044,politics,NA
1045,politics,NA
1046,politics,NA
1047,politics,NA
1048,politics,Sometimes
1049,politics,NA
1050,politics,Often
1051,politics,NA
1052,politics,Most of the time
1053,politics,Sometimes
1054,politics,NA
1055,politics,Most of the time
1056,politics,Most of the time
1057,politics,NA
1058,politics,NA
1059,politics,NA
1060,politics,NA
1061,politics,Most of the time
1062,politics,NA
1063,politics,Most of the time
1064,politics,NA
1065,politics,NA
1066,politics,NA
1067,politics,Often
1068,politics,NA
1069,politics,Most of the time
1070,politics,Sometimes
1071,politics,NA
1072,politics,NA
1073,politics,Rarely
1074,politics,NA
1075,politics,NA
1076,politics,Most of the time
1077,politics,NA
1078,politics,Often
1079,politics,Most of the time
1080,politics,Sometimes
1081,politics,Often
1082,politics,Often
1083,politics,NA
1084,politics,NA
1085,politics,Sometimes
1086,politics,NA
1087,politics,NA
1088,politics,NA
1089,politics,Often
1090,politics,NA
1091,politics,NA
1092,politics,NA
1093,politics,NA
1094,politics,Often
1095,politics,NA
1096,politics,NA
1097,politics,Often
1098,politics,NA
1099,politics,Often
1100,politics,NA
1101,politics,NA
1102,politics,NA
1103,politics,NA
1104,politics,NA
1105,politics,Most of the time
1106,politics,NA
1107,politics,NA
1108,politics,NA
1109,politics,Most of the time
1110,politics,NA
1111,politics,NA
1112,politics,Often
1113,politics,NA
1114,politics,NA
1115,politics,NA
1116,politics,NA
1117,politics,NA
1118,politics,NA
1119,politics,Rarely
1120,politics,NA
1121,politics,NA
1122,politics,NA
1123,politics,Sometimes
1124,politics,NA
1125,politics,NA
1126,politics,NA
1127,politics,NA
1128,politics,Most of the time
1129,politics,NA
1130,politics,NA
1131,politics,NA
1132,politics,NA
1133,politics,NA
1134,politics,NA
1135,politics,Often
1136,politics,Most of the time
1137,politics,NA
1138,politics,Most of the time
1139,politics,NA
1140,politics,Often
1141,politics,NA
1142,politics,NA
1143,politics,Most of the time
1144,politics,NA
1145,politics,NA
1146,politics,NA
1147,politics,Often
1148,politics,Often
1149,politics,NA
1150,politics,NA
1151,politics,NA
1152,politics,NA
1153,politics,Most of the time
1154,politics,NA
1155,politics,NA
1156,politics,NA
1157,politics,NA
1158,politics,NA
1159,politics,NA
1160,politics,NA
1161,politics,NA
1162,politics,NA
1163,politics,NA
1164,politics,NA
1165,politics,NA
1166,politics,Most of the time
1167,politics,NA
1168,politics,NA
1169,politics,NA
1170,politics,Most of the time
1171,politics,Sometimes
1172,politics,Most of the time
1173,politics,NA
1174,politics,NA
1175,politics,NA
1176,politics,NA
1177,politics,NA
1178,politics,NA
1179,politics,Sometimes
1180,politics,Often
1181,politics,NA
1182,politics,NA
1183,politics,NA
1184,politics,NA
1185,politics,NA
1186,politics,NA
1187,politics,NA
1188,politics,NA
1189,politics,Often
1190,politics,NA
1191,politics,NA
1192,politics,Sometimes
1193,politics,NA
1194,politics,NA
1195,politics,NA
1196,politics,NA
1197,politics,Often
1198,politics,NA
1199,politics,NA
1200,politics,NA
1201,politics,NA
1202,politics,NA
1203,politics,NA
1204,politics,NA
1205,politics,Often
1206,politics,NA
1207,politics,Most of the time
1208,politics,NA
1209,politics,NA
1210,politics,NA
1211,politics,Most of the time
1212,politics,Often
1213,politics,NA
1214,politics,NA
1215,politics,NA
1216,politics,NA
1217,politics,NA
1218,politics,NA
1219,politics,NA
1220,politics,NA
1221,politics,NA
1222,politics,NA
1223,politics,NA
1224,politics,NA
1225,politics,NA
1226,politics,NA
1227,politics,Often
1228,politics,NA
1229,politics,NA
1230,politics,NA
1231,politics,Often
1232,politics,NA
1233,politics,NA
1234,politics,NA
1235,politics,Often
1236,politics,NA
1237,politics,NA
1238,politics,NA
1239,politics,Often
1240,politics,NA
1241,politics,NA
1242,politics,NA
1243,politics,NA
1244,politics,NA
1245,politics,Often
1246,politics,Sometimes
1247,politics,NA
1248,politics,NA
1249,politics,NA
1250,politics,Most of the time
1251,politics,NA
1252,politics,NA
1253,politics,Often
1254,politics,NA
1255,politics,NA
1256,politics,NA
1257,politics,NA
1258,politics,NA
1259,politics,Rarely
1260,politics,NA
1261,politics,Sometimes
1262,politics,NA
1263,politics,NA
1264,politics,Most of the time
1265,politics,NA
1266,politics,NA
1267,politics,NA
1268,politics,NA
1269,politics,NA
1270,politics,NA
1271,politics,NA
1272,politics,NA
1273,politics,NA
1274,politics,NA
1275,politics,NA
1276,politics,NA
1277,politics,NA
1278,politics,NA
1279,politics,NA
1280,politics,NA
1281,politics,NA
1282,politics,Most of the time
1283,politics,NA
1284,politics,NA
1285,politics,Most of the time
1286,politics,Often
1287,politics,NA
1288,politics,NA
1289,politics,NA
1290,politics,NA
1291,politics,NA
1292,politics,NA
1293,politics,NA
1294,politics,NA
1295,politics,NA
1296,politics,Often
1297,politics,NA
1298,politics,NA
1299,politics,NA
1300,politics,NA
1301,politics,NA
1302,politics,NA
1303,politics,Often
1304,politics,NA
1305,politics,NA
1306,politics,NA
1307,politics,NA
1308,politics,NA
1309,politics,NA
1310,politics,Most of the time
1311,politics,NA
1312,politics,NA
1313,politics,NA
1314,politics,Often
1315,politics,NA
1316,politics,Sometimes
1317,politics,NA
1318,politics,NA
1319,politics,Most of the time
1320,politics,Often
1321,politics,NA
1322,politics,Often
1323,politics,NA
1324,politics,Sometimes
1325,politics,Sometimes
1326,politics,NA
1327,politics,NA
1328,politics,Often
1329,politics,NA
1330,politics,NA
1331,politics,NA
1332,politics,NA
1333,politics,NA
1334,politics,NA
1335,politics,NA
1336,politics,NA
1337,politics,NA
1338,politics,NA
1339,politics,NA
1340,politics,Most of the time
1341,politics,NA
1342,politics,NA
1343,politics,NA
1344,politics,NA
1345,politics,NA
1346,politics,NA
1347,politics,NA
1348,politics,NA
1349,politics,NA
1350,politics,NA
1351,politics,Often
1352,politics,Sometimes
1353,politics,NA
1354,politics,NA
1355,politics,NA
1356,politics,Rarely
1357,politics,Most of the time
1358,politics,NA
1359,politics,NA
1360,politics,NA
1361,politics,NA
1362,politics,Most of the time
1363,politics,NA
1364,politics,NA
1365,politics,Often
1366,politics,Sometimes
1367,politics,NA
1368,politics,NA
1369,politics,Often
1370,politics,NA
1371,politics,NA
1372,politics,NA
1373,politics,NA
1374,politics,NA
1375,politics,NA
1376,politics,NA
1377,politics,NA
1378,politics,NA
1379,politics,Often
1380,politics,NA
1381,politics,NA
1382,politics,Most of the time
1383,politics,NA
1384,politics,NA
1385,politics,NA
1386,politics,NA
1387,politics,Sometimes
1388,politics,NA
1389,politics,NA
1390,politics,NA
1391,politics,NA
1392,politics,NA
1393,politics,NA
1394,politics,NA
1395,politics,NA
1396,politics,NA
1397,politics,NA
1398,politics,NA
1399,politics,NA
1400,politics,NA
1401,politics,NA
1402,politics,NA
1403,politics,Most of the time
1404,politics,NA
1405,politics,Most of the time
1406,politics,Most of the time
1407,politics,NA
1408,politics,NA
1409,politics,Most of the time
1410,politics,NA
1411,politics,Often
1412,politics,NA
1413,politics,NA
1414,politics,NA
1415,politics,NA
1416,politics,Most of the time
1417,politics,NA
1418,politics,NA
1419,politics,NA
1420,politics,Often
1421,politics,NA
1422,politics,NA
1423,politics,NA
1424,politics,NA
1425,politics,NA
1426,politics,NA
1427,politics,Sometimes
1428,politics,NA
1429,politics,NA
1430,politics,Most of the time
1431,politics,NA
1432,politics,NA
1433,politics,NA
1434,politics,NA
1435,politics,NA
1436,politics,NA
1437,politics,NA
1438,politics,NA
1439,politics,NA
1440,politics,NA
1441,politics,NA
1442,politics,NA
1443,politics,NA
1444,politics,Sometimes
1445,politics,NA
1446,politics,NA
1447,politics,Most of the time
1448,politics,Sometimes
1449,politics,NA
1450,politics,NA
1451,politics,NA
1452,politics,NA
1453,politics,NA
1454,politics,Sometimes
1455,politics,NA
1456,politics,NA
1457,politics,Most of the time
1458,politics,Often
1459,politics,NA
1460,politics,Rarely
1461,politics,NA
1462,politics,NA
1463,politics,NA
1464,politics,NA
1465,politics,NA
1466,politics,NA
1467,politics,Often
1468,politics,NA
1469,politics,Most of the time
1470,politics,NA
1471,politics,Often
1472,politics,NA
1473,politics,NA
1474,politics,Sometimes
1475,politics,NA
1476,politics,NA
1477,politics,NA
1478,politics,NA
1479,politics,NA
1480,politics,NA
1481,politics,NA
1482,politics,NA
1483,politics,Often
1484,politics,Rarely
1485,politics,NA
1486,politics,NA
1487,politics,NA
1488,politics,NA
1489,politics,NA
1490,politics,Sometimes
1491,politics,Sometimes
1492,politics,NA
1493,politics,NA
1494,politics,NA
1495,politics,NA
1496,politics,Often
1497,politics,NA
1498,politics,NA
1499,politics,NA
1500,politics,NA
1501,politics,Most of the time
1502,politics,Sometimes
1503,politics,NA
1504,politics,NA
1505,politics,NA
1506,politics,NA
1507,politics,NA
1508,politics,NA
1509,politics,NA
1510,politics,NA
1511,politics,NA
1512,politics,NA
1513,politics,NA
1514,politics,NA
1515,politics,NA
1516,politics,NA
1517,politics,Sometimes
1518,politics,NA
1519,politics,NA
1520,politics,NA
1521,politics,NA
1522,politics,Most of the time
1523,politics,NA
1524,politics,NA
1525,politics,NA
1526,politics,Rarely
1527,politics,Most of the time
1528,politics,NA
1529,politics,NA
1530,politics,Most of the time
1531,politics,NA
1532,politics,NA
1533,politics,NA
1534,politics,NA
1535,politics,NA
1536,politics,Often
1537,politics,NA
1538,politics,Often
1539,politics,NA
1540,politics,Most of the time
1541,politics,NA
1542,politics,NA
1543,politics,NA
1544,politics,Often
1545,politics,NA
1546,politics,NA
1547,politics,NA
1548,politics,NA
1549,politics,NA
1550,politics,NA
1551,politics,NA
1552,politics,NA
1553,politics,NA
1554,politics,NA
1555,politics,Sometimes
1556,politics,NA
1557,politics,Most of the time
1558,politics,NA
1559,politics,NA
1560,politics,NA
1561,politics,NA
1562,politics,NA
1563,politics,NA
1564,politics,NA
1565,politics,NA
1566,politics,Most of the time
1567,politics,NA
1568,politics,NA
1569,politics,NA
1570,politics,NA
1571,politics,NA
