id,platform,usefulness
572,Arxiv,Somewhat useful
574,Arxiv,Somewhat useful
575,Arxiv,Somewhat useful
581,Arxiv,Somewhat useful
582,Arxiv,Somewhat useful
583,Arxiv,Somewhat useful
584,Arxiv,Somewhat useful
587,Arxiv,Somewhat useful
590,Arxiv,Very useful
591,Arxiv,Very useful
592,Arxiv,Somewhat useful
596,Arxiv,Very useful
601,Arxiv,Somewhat useful
603,Arxiv,Very useful
606,Arxiv,Somewhat useful
608,Arxiv,Somewhat useful
611,Arxiv,Somewhat useful
618,Arxiv,Very useful
620,Arxiv,Somewhat useful
627,Arxiv,Very useful
631,Arxiv,Very useful
633,Arxiv,Not Useful
634,Arxiv,Somewhat useful
636,Arxiv,Somewhat useful
637,Arxiv,Very useful
638,Arxiv,Very useful
639,Arxiv,Very useful
640,Arxiv,Very useful
642,Arxiv,Very useful
643,Arxiv,Somewhat useful
644,Arxiv,Somewhat useful
645,Arxiv,Somewhat useful
649,Arxiv,Very useful
650,Arxiv,Very useful
651,Arxiv,Very useful
654,Arxiv,Somewhat useful
657,Arxiv,Very useful
661,Arxiv,Very useful
665,Arxiv,Very useful
666,Arxiv,Somewhat useful
668,Arxiv,Somewhat useful
670,Arxiv,Somewhat useful
676,Arxiv,Very useful
677,Arxiv,Very useful
678,Arxiv,Somewhat useful
681,Arxiv,Very useful
686,Arxiv,Very useful
688,Arxiv,Somewhat useful
692,Arxiv,Somewhat useful
695,Arxiv,Very useful
699,Arxiv,Not Useful
710,Arxiv,Very useful
716,Arxiv,Very useful
717,Arxiv,Very useful
722,Arxiv,Somewhat useful
723,Arxiv,Very useful
731,Arxiv,Very useful
732,Arxiv,Very useful
733,Arxiv,Somewhat useful
736,Arxiv,Very useful
737,Arxiv,Somewhat useful
746,Arxiv,Somewhat useful
748,Arxiv,Very useful
754,Arxiv,Very useful
757,Arxiv,Very useful
761,Arxiv,Somewhat useful
772,Arxiv,Very useful
773,Arxiv,Very useful
774,Arxiv,Very useful
788,Arxiv,Very useful
795,Arxiv,Very useful
800,Arxiv,Very useful
803,Arxiv,Very useful
804,Arxiv,Somewhat useful
805,Arxiv,Very useful
809,Arxiv,Very useful
817,Arxiv,Somewhat useful
819,Arxiv,Very useful
822,Arxiv,Somewhat useful
827,Arxiv,Very useful
829,Arxiv,Very useful
834,Arxiv,Very useful
835,Arxiv,Somewhat useful
837,Arxiv,Very useful
843,Arxiv,Very useful
844,Arxiv,Somewhat useful
847,Arxiv,Very useful
855,Arxiv,Very useful
861,Arxiv,Somewhat useful
862,Arxiv,Somewhat useful
863,Arxiv,Very useful
864,Arxiv,Somewhat useful
866,Arxiv,Somewhat useful
867,Arxiv,Somewhat useful
871,Arxiv,Somewhat useful
873,Arxiv,Somewhat useful
876,Arxiv,Somewhat useful
880,Arxiv,Very useful
881,Arxiv,Very useful
884,Arxiv,Very useful
891,Arxiv,Somewhat useful
892,Arxiv,Very useful
893,Arxiv,Somewhat useful
895,Arxiv,Somewhat useful
898,Arxiv,Somewhat useful
903,Arxiv,Somewhat useful
906,Arxiv,Very useful
909,Arxiv,Somewhat useful
913,Arxiv,Very useful
928,Arxiv,Very useful
936,Arxiv,Very useful
938,Arxiv,Very useful
944,Arxiv,Very useful
945,Arxiv,Very useful
946,Arxiv,Very useful
948,Arxiv,Very useful
950,Arxiv,Somewhat useful
953,Arxiv,Somewhat useful
961,Arxiv,Very useful
965,Arxiv,Somewhat useful
969,Arxiv,Somewhat useful
970,Arxiv,Somewhat useful
971,Arxiv,Very useful
982,Arxiv,Very useful
984,Arxiv,Very useful
985,Arxiv,Very useful
987,Arxiv,Somewhat useful
994,Arxiv,Somewhat useful
996,Arxiv,Somewhat useful
999,Arxiv,Somewhat useful
1002,Arxiv,Somewhat useful
1005,Arxiv,Very useful
1006,Arxiv,Very useful
1014,Arxiv,Somewhat useful
1025,Arxiv,Very useful
1029,Arxiv,Very useful
1030,Arxiv,Very useful
1031,Arxiv,Very useful
1035,Arxiv,Very useful
1038,Arxiv,Very useful
1049,Arxiv,Very useful
1050,Arxiv,Somewhat useful
1054,Arxiv,Somewhat useful
1057,Arxiv,Very useful
1059,Arxiv,Somewhat useful
1064,Arxiv,Very useful
1066,Arxiv,Very useful
1069,Arxiv,Somewhat useful
1074,Arxiv,Very useful
1075,Arxiv,Somewhat useful
1081,Arxiv,Somewhat useful
1083,Arxiv,Somewhat useful
1087,Arxiv,Somewhat useful
1096,Arxiv,Somewhat useful
1098,Arxiv,Somewhat useful
1099,Arxiv,Very useful
1104,Arxiv,Very useful
1109,Arxiv,Very useful
1112,Arxiv,Very useful
1118,Arxiv,Very useful
1121,Arxiv,Very useful
1126,Arxiv,Somewhat useful
1128,Arxiv,Very useful
1134,Arxiv,Very useful
1135,Arxiv,Very useful
1138,Arxiv,Very useful
1163,Arxiv,Somewhat useful
1166,Arxiv,Somewhat useful
1168,Arxiv,Somewhat useful
1189,Arxiv,Somewhat useful
1203,Arxiv,Somewhat useful
1209,Arxiv,Somewhat useful
1212,Arxiv,Very useful
1218,Arxiv,Very useful
1236,Arxiv,Very useful
1246,Arxiv,Somewhat useful
1251,Arxiv,Very useful
1259,Arxiv,Very useful
1264,Arxiv,Very useful
1274,Arxiv,Very useful
1299,Arxiv,Somewhat useful
1314,Arxiv,Somewhat useful
1324,Arxiv,Somewhat useful
1325,Arxiv,Very useful
1331,Arxiv,Somewhat useful
1332,Arxiv,Very useful
1364,Arxiv,Somewhat useful
1371,Arxiv,Very useful
1381,Arxiv,Somewhat useful
1383,Arxiv,Very useful
1384,Arxiv,Somewhat useful
1392,Arxiv,Very useful
1403,Arxiv,Somewhat useful
1404,Arxiv,Very useful
1406,Arxiv,Very useful
1407,Arxiv,Very useful
1408,Arxiv,Very useful
1410,Arxiv,Somewhat useful
1411,Arxiv,Somewhat useful
1416,Arxiv,Very useful
1424,Arxiv,Very useful
1427,Arxiv,Somewhat useful
1431,Arxiv,Somewhat useful
1438,Arxiv,Very useful
1442,Arxiv,Very useful
1452,Arxiv,Very useful
1453,Arxiv,Somewhat useful
1457,Arxiv,Very useful
1460,Arxiv,Somewhat useful
1461,Arxiv,Somewhat useful
1467,Arxiv,Somewhat useful
1473,Arxiv,Very useful
1490,Arxiv,Very useful
1491,Arxiv,Very useful
1494,Arxiv,Somewhat useful
1522,Arxiv,Very useful
1525,Arxiv,Very useful
1529,Arxiv,Very useful
1533,Arxiv,Somewhat useful
1534,Arxiv,Very useful
1535,Arxiv,Very useful
1536,Arxiv,Very useful
1541,Arxiv,Very useful
1547,Arxiv,Very useful
1550,Arxiv,Very useful
1554,Arxiv,Very useful
1555,Arxiv,Very useful
1556,Arxiv,Very useful
1568,Arxiv,Very useful
1569,Arxiv,Very useful
1570,Arxiv,Very useful
1574,Arxiv,Somewhat useful
1579,Arxiv,Very useful
1583,Arxiv,Very useful
1600,Arxiv,Very useful
1611,Arxiv,Very useful
1614,Arxiv,Somewhat useful
1621,Arxiv,Very useful
1624,Arxiv,Very useful
1644,Arxiv,Very useful
1654,Arxiv,Very useful
1659,Arxiv,Somewhat useful
1667,Arxiv,Very useful
1675,Arxiv,Very useful
1684,Arxiv,Very useful
1685,Arxiv,Somewhat useful
1688,Arxiv,Very useful
1691,Arxiv,Very useful
1696,Arxiv,Somewhat useful
1699,Arxiv,Somewhat useful
1700,Arxiv,Very useful
1701,Arxiv,Very useful
1704,Arxiv,Somewhat useful
1710,Arxiv,Very useful
1717,Arxiv,Very useful
1718,Arxiv,Very useful
1725,Arxiv,Very useful
1727,Arxiv,Very useful
1730,Arxiv,Somewhat useful
1731,Arxiv,Very useful
1732,Arxiv,Very useful
1733,Arxiv,Somewhat useful
1750,Arxiv,Somewhat useful
1756,Arxiv,Very useful
1759,Arxiv,Somewhat useful
1763,Arxiv,Very useful
1766,Arxiv,Very useful
1772,Arxiv,Very useful
1774,Arxiv,Somewhat useful
1777,Arxiv,Very useful
1781,Arxiv,Somewhat useful
1782,Arxiv,Somewhat useful
1785,Arxiv,Not Useful
1786,Arxiv,Somewhat useful
1789,Arxiv,Somewhat useful
1794,Arxiv,Very useful
1795,Arxiv,Very useful
1796,Arxiv,Very useful
1797,Arxiv,Very useful
1799,Arxiv,Somewhat useful
1804,Arxiv,Somewhat useful
1819,Arxiv,Very useful
1820,Arxiv,Very useful
1821,Arxiv,Very useful
1822,Arxiv,Very useful
1824,Arxiv,Very useful
1829,Arxiv,Somewhat useful
1830,Arxiv,Somewhat useful
1837,Arxiv,Somewhat useful
1838,Arxiv,Somewhat useful
1841,Arxiv,Very useful
1842,Arxiv,Very useful
1850,Arxiv,Very useful
1853,Arxiv,Somewhat useful
1855,Arxiv,Very useful
1858,Arxiv,Very useful
1861,Arxiv,Somewhat useful
1876,Arxiv,Somewhat useful
1884,Arxiv,Very useful
1885,Arxiv,Very useful
1886,Arxiv,Somewhat useful
1888,Arxiv,Somewhat useful
1892,Arxiv,Somewhat useful
1896,Arxiv,Very useful
1915,Arxiv,Very useful
1929,Arxiv,Very useful
1930,Arxiv,Somewhat useful
1940,Arxiv,Somewhat useful
1942,Arxiv,Somewhat useful
1943,Arxiv,Somewhat useful
1959,Arxiv,Very useful
1965,Arxiv,Very useful
1969,Arxiv,Very useful
1973,Arxiv,Somewhat useful
1975,Arxiv,Very useful
1986,Arxiv,Not Useful
1999,Arxiv,Very useful
2009,Arxiv,Somewhat useful
2021,Arxiv,Very useful
2027,Arxiv,Very useful
2033,Arxiv,Very useful
2041,Arxiv,Somewhat useful
2044,Arxiv,Very useful
2049,Arxiv,Very useful
2051,Arxiv,Very useful
2056,Arxiv,Very useful
2059,Arxiv,Very useful
2060,Arxiv,Very useful
2070,Arxiv,Very useful
2078,Arxiv,Somewhat useful
2082,Arxiv,Very useful
2087,Arxiv,Very useful
2090,Arxiv,Very useful
2091,Arxiv,Very useful
2095,Arxiv,Very useful
2097,Arxiv,Very useful
2113,Arxiv,Very useful
2125,Arxiv,Somewhat useful
2128,Arxiv,Very useful
2130,Arxiv,Somewhat useful
2136,Arxiv,Somewhat useful
2138,Arxiv,Somewhat useful
2154,Arxiv,Somewhat useful
2157,Arxiv,Somewhat useful
2169,Arxiv,Somewhat useful
2172,Arxiv,Somewhat useful
2173,Arxiv,Very useful
2177,Arxiv,Very useful
2187,Arxiv,Very useful
2193,Arxiv,Very useful
2196,Arxiv,Very useful
2198,Arxiv,Somewhat useful
2200,Arxiv,Somewhat useful
2209,Arxiv,Somewhat useful
2215,Arxiv,Somewhat useful
2220,Arxiv,Very useful
2222,Arxiv,Very useful
2226,Arxiv,Very useful
2228,Arxiv,Somewhat useful
2229,Arxiv,Very useful
2230,Arxiv,Very useful
2235,Arxiv,Somewhat useful
2238,Arxiv,Very useful
2239,Arxiv,Somewhat useful
2243,Arxiv,Very useful
2271,Arxiv,Somewhat useful
2280,Arxiv,Very useful
2281,Arxiv,Very useful
2282,Arxiv,Somewhat useful
2296,Arxiv,Very useful
2297,Arxiv,Somewhat useful
2299,Arxiv,Somewhat useful
2300,Arxiv,Very useful
2315,Arxiv,Somewhat useful
2318,Arxiv,Very useful
2319,Arxiv,Somewhat useful
2321,Arxiv,Very useful
2330,Arxiv,Very useful
2331,Arxiv,Very useful
2332,Arxiv,Somewhat useful
2339,Arxiv,Somewhat useful
2345,Arxiv,Very useful
2347,Arxiv,Very useful
2350,Arxiv,Very useful
2353,Arxiv,Very useful
2356,Arxiv,Very useful
2359,Arxiv,Very useful
2364,Arxiv,Very useful
2371,Arxiv,Somewhat useful
2375,Arxiv,Very useful
2377,Arxiv,Very useful
2378,Arxiv,Somewhat useful
2379,Arxiv,Somewhat useful
2380,Arxiv,Very useful
2383,Arxiv,Somewhat useful
2389,Arxiv,Very useful
2390,Arxiv,Somewhat useful
2394,Arxiv,Somewhat useful
2395,Arxiv,Very useful
2402,Arxiv,Very useful
2404,Arxiv,Somewhat useful
2406,Arxiv,Very useful
2410,Arxiv,Somewhat useful
2419,Arxiv,Somewhat useful
2424,Arxiv,Very useful
2425,Arxiv,Somewhat useful
2432,Arxiv,Very useful
2443,Arxiv,Very useful
2450,Arxiv,Somewhat useful
2454,Arxiv,Somewhat useful
2456,Arxiv,Somewhat useful
2459,Arxiv,Very useful
2460,Arxiv,Somewhat useful
2461,Arxiv,Very useful
2465,Arxiv,Very useful
2466,Arxiv,Somewhat useful
2477,Arxiv,Very useful
2482,Arxiv,Somewhat useful
2520,Arxiv,Very useful
2623,Arxiv,Somewhat useful
2631,Arxiv,Very useful
2740,Arxiv,Very useful
2745,Arxiv,Somewhat useful
2750,Arxiv,Not Useful
2785,Arxiv,Very useful
2817,Arxiv,Very useful
2824,Arxiv,Very useful
2827,Arxiv,Somewhat useful
2,Blogs,Very useful
6,Blogs,Very useful
8,Blogs,Somewhat useful
9,Blogs,Somewhat useful
10,Blogs,Somewhat useful
11,Blogs,Somewhat useful
18,Blogs,Very useful
19,Blogs,Very useful
21,Blogs,Very useful
22,Blogs,Very useful
23,Blogs,Very useful
29,Blogs,Very useful
30,Blogs,Very useful
32,Blogs,Somewhat useful
34,Blogs,Very useful
41,Blogs,Somewhat useful
42,Blogs,Somewhat useful
43,Blogs,Somewhat useful
46,Blogs,Very useful
48,Blogs,Very useful
49,Blogs,Very useful
50,Blogs,Somewhat useful
51,Blogs,Very useful
53,Blogs,Very useful
56,Blogs,Somewhat useful
59,Blogs,Very useful
61,Blogs,Somewhat useful
64,Blogs,Somewhat useful
65,Blogs,Somewhat useful
68,Blogs,Somewhat useful
69,Blogs,Very useful
74,Blogs,Somewhat useful
78,Blogs,Somewhat useful
80,Blogs,Very useful
81,Blogs,Somewhat useful
83,Blogs,Very useful
86,Blogs,Very useful
90,Blogs,Somewhat useful
96,Blogs,Very useful
97,Blogs,Very useful
106,Blogs,Very useful
110,Blogs,Very useful
114,Blogs,Somewhat useful
115,Blogs,Somewhat useful
116,Blogs,Somewhat useful
117,Blogs,Very useful
123,Blogs,Very useful
124,Blogs,Somewhat useful
126,Blogs,Somewhat useful
127,Blogs,Very useful
130,Blogs,Somewhat useful
132,Blogs,Very useful
134,Blogs,Very useful
136,Blogs,Somewhat useful
143,Blogs,Very useful
149,Blogs,Somewhat useful
154,Blogs,Somewhat useful
155,Blogs,Very useful
157,Blogs,Very useful
158,Blogs,Very useful
159,Blogs,Very useful
160,Blogs,Somewhat useful
162,Blogs,Very useful
163,Blogs,Somewhat useful
169,Blogs,Very useful
171,Blogs,Somewhat useful
173,Blogs,Very useful
174,Blogs,Somewhat useful
176,Blogs,Somewhat useful
184,Blogs,Very useful
187,Blogs,Very useful
188,Blogs,Somewhat useful
189,Blogs,Very useful
191,Blogs,Somewhat useful
192,Blogs,Very useful
194,Blogs,Very useful
195,Blogs,Somewhat useful
196,Blogs,Somewhat useful
197,Blogs,Very useful
202,Blogs,Very useful
205,Blogs,Very useful
206,Blogs,Very useful
210,Blogs,Very useful
211,Blogs,Somewhat useful
212,Blogs,Somewhat useful
216,Blogs,Somewhat useful
218,Blogs,Somewhat useful
220,Blogs,Very useful
223,Blogs,Somewhat useful
225,Blogs,Somewhat useful
226,Blogs,Somewhat useful
228,Blogs,Very useful
235,Blogs,Very useful
236,Blogs,Somewhat useful
237,Blogs,Somewhat useful
239,Blogs,Somewhat useful
240,Blogs,Somewhat useful
241,Blogs,Somewhat useful
242,Blogs,Very useful
245,Blogs,Very useful
248,Blogs,Somewhat useful
253,Blogs,Very useful
254,Blogs,Very useful
256,Blogs,Very useful
259,Blogs,Somewhat useful
261,Blogs,Somewhat useful
262,Blogs,Very useful
263,Blogs,Very useful
267,Blogs,Very useful
268,Blogs,Somewhat useful
269,Blogs,Somewhat useful
273,Blogs,Somewhat useful
274,Blogs,Somewhat useful
277,Blogs,Very useful
280,Blogs,Somewhat useful
281,Blogs,Very useful
282,Blogs,Somewhat useful
283,Blogs,Not Useful
286,Blogs,Very useful
288,Blogs,Somewhat useful
290,Blogs,Very useful
291,Blogs,Somewhat useful
292,Blogs,Very useful
293,Blogs,Very useful
297,Blogs,Somewhat useful
299,Blogs,Very useful
305,Blogs,Very useful
306,Blogs,Very useful
307,Blogs,Very useful
308,Blogs,Somewhat useful
310,Blogs,Very useful
311,Blogs,Somewhat useful
315,Blogs,Very useful
316,Blogs,Somewhat useful
317,Blogs,Very useful
318,Blogs,Very useful
324,Blogs,Very useful
325,Blogs,Very useful
327,Blogs,Somewhat useful
328,Blogs,Very useful
331,Blogs,Not Useful
342,Blogs,Somewhat useful
343,Blogs,Very useful
345,Blogs,Very useful
347,Blogs,Somewhat useful
350,Blogs,Very useful
352,Blogs,Somewhat useful
353,Blogs,Somewhat useful
355,Blogs,Very useful
356,Blogs,Very useful
357,Blogs,Very useful
359,Blogs,Somewhat useful
363,Blogs,Very useful
365,Blogs,Very useful
366,Blogs,Somewhat useful
367,Blogs,Somewhat useful
368,Blogs,Very useful
370,Blogs,Somewhat useful
372,Blogs,Very useful
374,Blogs,Somewhat useful
376,Blogs,Somewhat useful
379,Blogs,Very useful
380,Blogs,Somewhat useful
383,Blogs,Somewhat useful
384,Blogs,Very useful
392,Blogs,Somewhat useful
394,Blogs,Somewhat useful
400,Blogs,Somewhat useful
402,Blogs,Very useful
403,Blogs,Somewhat useful
405,Blogs,Somewhat useful
408,Blogs,Very useful
413,Blogs,Somewhat useful
414,Blogs,Somewhat useful
416,Blogs,Somewhat useful
420,Blogs,Very useful
421,Blogs,Very useful
423,Blogs,Very useful
427,Blogs,Very useful
428,Blogs,Somewhat useful
429,Blogs,Very useful
435,Blogs,Very useful
436,Blogs,Very useful
439,Blogs,Very useful
440,Blogs,Somewhat useful
444,Blogs,Very useful
446,Blogs,Somewhat useful
447,Blogs,Very useful
449,Blogs,Very useful
450,Blogs,Very useful
452,Blogs,Very useful
453,Blogs,Very useful
458,Blogs,Very useful
460,Blogs,Very useful
461,Blogs,Very useful
462,Blogs,Very useful
466,Blogs,Somewhat useful
468,Blogs,Somewhat useful
469,Blogs,Very useful
470,Blogs,Somewhat useful
476,Blogs,Very useful
477,Blogs,Very useful
482,Blogs,Very useful
484,Blogs,Not Useful
485,Blogs,Somewhat useful
489,Blogs,Very useful
492,Blogs,Somewhat useful
493,Blogs,Somewhat useful
494,Blogs,Very useful
496,Blogs,Very useful
502,Blogs,Very useful
503,Blogs,Somewhat useful
507,Blogs,Somewhat useful
509,Blogs,Somewhat useful
511,Blogs,Somewhat useful
514,Blogs,Very useful
517,Blogs,Very useful
518,Blogs,Somewhat useful
519,Blogs,Somewhat useful
520,Blogs,Somewhat useful
523,Blogs,Very useful
525,Blogs,Somewhat useful
526,Blogs,Somewhat useful
528,Blogs,Very useful
532,Blogs,Very useful
534,Blogs,Somewhat useful
537,Blogs,Somewhat useful
538,Blogs,Very useful
541,Blogs,Very useful
543,Blogs,Somewhat useful
544,Blogs,Somewhat useful
545,Blogs,Somewhat useful
550,Blogs,Very useful
551,Blogs,Very useful
552,Blogs,Very useful
557,Blogs,Very useful
558,Blogs,Somewhat useful
565,Blogs,Somewhat useful
566,Blogs,Somewhat useful
567,Blogs,Somewhat useful
570,Blogs,Somewhat useful
573,Blogs,Somewhat useful
578,Blogs,Very useful
580,Blogs,Somewhat useful
582,Blogs,Very useful
583,Blogs,Very useful
584,Blogs,Somewhat useful
585,Blogs,Somewhat useful
587,Blogs,Very useful
588,Blogs,Somewhat useful
589,Blogs,Very useful
590,Blogs,Very useful
596,Blogs,Very useful
598,Blogs,Somewhat useful
601,Blogs,Somewhat useful
603,Blogs,Very useful
606,Blogs,Somewhat useful
607,Blogs,Very useful
608,Blogs,Very useful
610,Blogs,Very useful
613,Blogs,Very useful
615,Blogs,Very useful
620,Blogs,Very useful
621,Blogs,Very useful
622,Blogs,Very useful
623,Blogs,Very useful
624,Blogs,Very useful
627,Blogs,Very useful
629,Blogs,Very useful
630,Blogs,Very useful
631,Blogs,Very useful
632,Blogs,Somewhat useful
633,Blogs,Very useful
634,Blogs,Somewhat useful
635,Blogs,Very useful
637,Blogs,Somewhat useful
638,Blogs,Somewhat useful
639,Blogs,Very useful
640,Blogs,Somewhat useful
643,Blogs,Somewhat useful
647,Blogs,Somewhat useful
649,Blogs,Very useful
650,Blogs,Somewhat useful
652,Blogs,Very useful
654,Blogs,Very useful
655,Blogs,Very useful
662,Blogs,Somewhat useful
663,Blogs,Very useful
664,Blogs,Somewhat useful
667,Blogs,Somewhat useful
669,Blogs,Very useful
670,Blogs,Very useful
671,Blogs,Very useful
677,Blogs,Somewhat useful
678,Blogs,Somewhat useful
681,Blogs,Somewhat useful
682,Blogs,Somewhat useful
686,Blogs,Very useful
688,Blogs,Somewhat useful
692,Blogs,Very useful
694,Blogs,Very useful
695,Blogs,Somewhat useful
696,Blogs,Somewhat useful
699,Blogs,Very useful
700,Blogs,Very useful
701,Blogs,Very useful
702,Blogs,Very useful
706,Blogs,Somewhat useful
709,Blogs,Somewhat useful
710,Blogs,Very useful
715,Blogs,Very useful
716,Blogs,Somewhat useful
717,Blogs,Very useful
720,Blogs,Somewhat useful
723,Blogs,Very useful
725,Blogs,Very useful
728,Blogs,Very useful
729,Blogs,Very useful
730,Blogs,Not Useful
731,Blogs,Somewhat useful
733,Blogs,Somewhat useful
735,Blogs,Very useful
739,Blogs,Somewhat useful
740,Blogs,Somewhat useful
743,Blogs,Very useful
746,Blogs,Somewhat useful
747,Blogs,Very useful
748,Blogs,Very useful
750,Blogs,Somewhat useful
754,Blogs,Very useful
756,Blogs,Somewhat useful
757,Blogs,Very useful
769,Blogs,Somewhat useful
771,Blogs,Very useful
772,Blogs,Very useful
773,Blogs,Very useful
774,Blogs,Somewhat useful
776,Blogs,Somewhat useful
777,Blogs,Very useful
778,Blogs,Very useful
779,Blogs,Somewhat useful
788,Blogs,Somewhat useful
789,Blogs,Very useful
796,Blogs,Very useful
799,Blogs,Somewhat useful
803,Blogs,Somewhat useful
805,Blogs,Somewhat useful
806,Blogs,Somewhat useful
807,Blogs,Somewhat useful
808,Blogs,Very useful
812,Blogs,Somewhat useful
813,Blogs,Somewhat useful
817,Blogs,Very useful
820,Blogs,Somewhat useful
821,Blogs,Somewhat useful
826,Blogs,Somewhat useful
827,Blogs,Very useful
828,Blogs,Very useful
829,Blogs,Somewhat useful
832,Blogs,Somewhat useful
834,Blogs,Very useful
835,Blogs,Somewhat useful
837,Blogs,Somewhat useful
838,Blogs,Somewhat useful
840,Blogs,Very useful
843,Blogs,Very useful
844,Blogs,Somewhat useful
846,Blogs,Very useful
847,Blogs,Very useful
848,Blogs,Very useful
849,Blogs,Somewhat useful
850,Blogs,Very useful
852,Blogs,Very useful
858,Blogs,Very useful
862,Blogs,Very useful
866,Blogs,Very useful
867,Blogs,Very useful
877,Blogs,Somewhat useful
878,Blogs,Somewhat useful
879,Blogs,Somewhat useful
880,Blogs,Very useful
881,Blogs,Somewhat useful
884,Blogs,Very useful
885,Blogs,Somewhat useful
891,Blogs,Somewhat useful
892,Blogs,Somewhat useful
893,Blogs,Somewhat useful
899,Blogs,Very useful
901,Blogs,Very useful
905,Blogs,Somewhat useful
906,Blogs,Very useful
908,Blogs,Very useful
909,Blogs,Very useful
913,Blogs,Very useful
